strain_host,latinname,host_group1,host_group2,order,domesticstatus,corrected_host,
lorikeet,Trichoglossus moluccanus,parrot,other,psittaciformes,unknown,lorikeet,
magpie,Corvidae,passerine,songbird-etc,passeriformes,wild,magpie,
mallard,Anas platyrhynchos,duck,duck,anseriformes,wild,mallard,
mallardduck,Anas platyrhynchos,duck,duck,anseriformes,wild,mallard,
manxshearwater,Puffinus puffinus,seabird,shorebird,procellariiformes,wild,manxshearwater,
merganser,Mergus,duck,duck,anseriformes,wild,merganser,
mergus,,duck,duck,anseriformes,unknown,duck,
merlin,Falco columbarius,raptor,bird-of-prey,falconiformes,wild,merlin,
mixed,,unknown,other,unknown,unknown,multispecies,
mottledduck,Anas fulvigula,duck,duck,anseriformes,wild,mottledduck,
mourningdove,Zenaida macroura,dove,songbird-etc,columbiformes,wild,mourningdove,
multispecies,,unknown,other,unknown,unknown,multispecies,
muscovyduck,Cairina moschata,duck,duck,anseriformes,unknown,muscovyduck,
muteswan,Cygnus olor,goose,goose-swan,anseriformes,wild,muteswan,
neotropiccormorant,Phalacrocorax brasilianus,cormorant,shorebird,suliformes,wild,neotropiccormorant,
northernfulmar,Fulmarus glacialis,seabird,shorebird,procellariiformes,wild ,northernfulmar,
northerngannet,Morus bassanus,seabird,shorebird,suliformes,wild,northerngannet,
northernharrier,Circus hudsonius,hawk,bird-of-prey,accipitriformes,wild,northernharrier,
northernpintail,Anas acuta,duck,duck,anseriformes,wild,northernpintail,
northenpintail,Anas acuta,duck,duck,anseriformes,wild,northernpintail,
northernsawwhetowl,Aegolius acadicus,owl,bird-of-prey,strigiformes,wild,northernsawwhetowl,
northernshoveler,Spatula clypeata,duck,duck,anseriformes,wild,northernshoveler,
northwesterncrow,Corvus brachyrhynchos,passerine,songbird-etc,passeriformes,wild,americancrow,absorbed?
osprey,Pandion haliaetus,hawk,bird-of-prey,accipitriformes,wild,osprey,
ostrich,Struthio camelus,ostrich,other,struthioniformes,domestic,ostrich,
owl,Strigidae,owl,bird-of-prey,strigiformes,wild,owl,
pacificloon,Gavia pacifica,duck,duck,gaviiformes,wild,pacificloon,
parabuteounicinctus,Parabuteo unicintus,raptor,bird-of-prey,accipitriformes,wild,harrishawk,
parasiticjaeger,Stercorarius parasiticus,gull,shorebird,charadriiformes,wild,parasiticjaeger,
parrot,Psittacidae,parrot,other,psittaciformes,unknown,parrot,
partridge,Phasianidae,partridge,ground-bird,galliformes,unknown,partridge,
peacock,Pavo,peafowl,ground-bird,galliformes,unknown,peafowl,feral?
peafowl,Pavo,peafowl,ground-bird,galliformes,unknown,peafowl,feral?
pekinduck,Anas platyrhynchos,duck,duck,anseriformes,domestic,pekinduck,
pelican,Pelecanidae,pelican,shorebird,pelecaniformes,wild,pelican,
peregrinefalcon,Falco peregrinus,raptor,bird-of-prey,falconiformes,wild,peregrinefalcon,
pheasant,,pheasant,ground-bird,galliformes,unknown,pheasant,
piedbilledgrebe,Podilymbus podiceps,grebe,diving-bird,podicipediformes,wild,piedbilledgrebe,
pigeon,Columba,dove,songbird-etc,columbiformes,wild,pigeon,
pintail,Anas acuta,duck,duck,anseriformes,wild,northernpintail,
plushcrestedjay,Cyanocorax chrysops,passerine,songbird-etc,passeriformes,unknown,plushcrestedjay,
poultry,Gallus gallus,chicken,ground-bird,galliformes,domestic,chicken,
prairiefalcon,Falco mexicanus,raptor,bird-of-prey,falconiformes,wild,prairiefalcon,
punateal,Spatula puna,duck,duck,anseriformes,unknown,punateal,
quail,,quail,ground-bird,galliformes,unknown,quail,
raven,Corvus,passerine,songbird-etc,passeriformes,wild,commonraven,
raxorbill,Alca torda,gull,hsore,charadriiformes,wild,razorbill,
razorbill,Alca torda,gull,shorebird,charadriiformes,wild,razorbill,
redbreastedgoose,Branta ruficollis,goose,goose-swan,anseriformes,unknown,redbreastedgoose,
redbreastedmerganser,Mergus serrator,duck,duck,anseriformes,wild,redbreastedmerganser,
redhead,Aythya americana,duck,duck,anseriformes,wild,redheadduck,
redheadduck,Aythya americana,duck,duck,anseriformes,wild,redheadduck,
redneckedgrebe,Podiceps grisegena,grebe,diving-bird,podicipediformes,wild,redneckedgrebe,
redneckedphalarope,Phalaropus lobatus,wader,shorebird,charadriiformes,wild ,redneckedphalarope,
redshoulderedhawk,Buteo lineatus,raptor,bird-of-prey,accipitriformes,wild,redshoulderedhawk,
redtailedhawk,Buteo jamaicensis,raptor,bird-of-prey,accipitriformes,wild,redtailedhawk,
redwingedblackbird,Agelaius phoeniceus,passerine,songbird-etc,passeriformes,wild,redwingedblackbird,
rhea,Rhea,rhea,other,rheiformes,unknown,rhea,
ringbilledgull,Larus delawarensis,gull,shorebird,charadriiformes,wild,ringbilledgull,
ringneckedduck,Aythya collaris,duck,duck,anseriformes,wild,ringneckedduck,
ringneckedpheasant,Phasianus colchicus,pheasant,ground-bird,galliformes,wild,ringneckedpheasant,
ringtailedhawk,Circus hudsonius,raptor,bird-of-prey,accipitriformes,wild,northernharrier,
rockpigeon,Columba livia,pigeon,songbird-etc,columbiformes,wild,rockpigeon,
roseatespoonbill,Platalea ajaja,wader,shorebird,pelecaniformes,wild,roseatespoonbill,
rosssgoose,Anser rossii,goose,goose-swan,anseriformes,wild,rosssgoose,
rossssgoose,Anser rossii,goose,goose-swan,anseriformes,wild,rosssgoose,
roughleggedhawk,Buteo lagopus ,raptor,bird-of-prey,accipitriformes,wild,roughleggedhawk,
royaltern,Thalasseus maximus,tern,shorebird,charadriiformes,wild,royaltern,
rthawk,Buteo jamaicensis,raptor,bird-of-prey,accipitriformes,wild,redtailedhawk,
ruddyduck,Oxyura jamaicensis,duck,duck,anseriformes,wild,ruddyduck,
ruddyturnstone,Arenaria interpres,wader,shorebird,charadriiformes,wild,ruddyturnstone,
ruffedgrouse,Bonasa umbellus,groundbird,ground-bird,galliformes,wild,ruffedgrouse,
sabinesgull,Xema sabini,gull,shorebird,charadriiformes,wild,sabinesgull,
sanderling,Calidris alba,wader,shorebird,charadriiformes,wild,sanderling,
sandhillcrane,Antigone canadensis,crane,other,gruiformes,wild,sandhillcrane,
sandwichtern,Thalasseus sandvicensis,tern,shorebird,charadriiformes,wild,sandwichtern,
savannahsparrow,Passerculus sandwichensis,passerine,songbird-etc,passeriformes,wild,savannahsparrow,
saysphoebe,Sayornis saya,passerine,songbird-etc,passeriformes,wild,saysphoebe,
scalysidedmerganser,Mergus squamatus,duck,duck,anseriformes,unknown,scalysidedmerganser,
scarletibis,Eudocimus ruber,wader,shorebird,pelecaniformes,unknown,scarletibis,
scoter,Melanitta,duck,duck,anseriformes,wild,scoter,
sebastopolgoose,Anser anser domesticus ,goose,goose-swan,anseriformes,domestic,sebastopolgoose,
sharpshinnedhawk,Accipiter striatus,raptor,bird-of-prey,accipitriformes,wild,sharpshinnedhawk,
shortbilledgull,Larus brachyrhynchus,gull,shorebird,charadriiformes,wild,shortbilledgull,
shortearedowl,Asio flammeus,owl,bird-of-prey,strigiformes,wild,shortearedowl,
shorttailedshearwater,Ardenna tenuirostris,seabird,shorebird,procellariiformes,wild,shorttailedshearwater,
shorttailedshearwaters,Ardenna tenuirostris,seabird,shorebird,procellariiformes,wild,shorttailedshearwater,
smew,Mergellus albellus,duck,duck,anseriformes,wild,smew,
silkiechicken,Gallus gallus,chicken,ground-bird,galliformes,domestic,silkiechicken,
silverpheasant,Lophura nycthemera,pheasant,ground-bird,galliformes,domestic,silverpheasant,
snowgoose,Anser caerulescens,goose,goose-swan,anseriformes,wild,snowgoose,
snowyegret,Egretta thula,heron,shorebird,pelecaniformes,wild,snowyegret,
snowyowl,Bubo scandiacus,owl,bird-of-prey,strigiformes,wild,snowyowl,
snowyplover,Anarhynchus nivosus,wader,shorebird,charadriiformes,wild,snowyplover,
songsparrow,Melospiza melodia,passerine,songbird-etc,passeriformes,wild,songsparrow,
sparrow,Passer ,passerine,songbird-etc,passeriformes,wild,sparrow,
summertanager,Piranga rubra,passerine,songbird-etc,passeriformes,wild,summertanager,
surfscoter,Melanitta perspicillata,duck,duck,anseriformes,wild,surfscoter,
swainsonshawk,Buteo swainsoni,raptor,bird-of-prey,accipitriformes,wild,swainsonshawk,
swan,Cygnus,swan,goose-swan,anseriformes,wild,swan,
swangoose,Anser cygnoides,goose,goose-swan,anseriformes,unknown,swangoose,
taiwanesechicken,Gallus gallus,chicken,ground-bird,galliformes,domestic,taiwanesechicken,
teal,,duck,duck,anseriformes,wild,teal,
thayersgull,Larus glaucoides thayeri,gull,shorebird,charadriiformes,wild,thayersgull,
treeswallow,Tachycineta bicolor,passerine,songbird-etc,passeriformes,wild,treeswallow,
trumpeterswan,Cygnus buccinator,swan,goose-swan,anseriformes,wild,trumpeterswan,
tundraswan,Cygnus columbianus,swan,goose-swan,anseriformes,wild,tundraswan,
turkey,Meleagris gallopavo,turkey,ground-bird,galliformes,unknown,turkey,
turkeyvulture,Cathartes aura,raptor,bird-of-prey,accipitriformes,wild,turkeyvulture,
tytofurcata,Tyto furcata,owl,bird-of-prey,strigiformes,wild,barnowl,
vulture,,raptor,bird-of-prey,accipitriformes,wild,vulture,
warbler,,passerine,songbird-etc,passeriformes,wild,warbler,
waterfowl,,unknown,other,anseriformes,unknown,waterfowl,
westerngrebe,Aechmophorus occidentalis,grebe,diving-bird,podicipediformes,wild,westerngrebe,
westerngull,Larus occidentalis,gull,shorebird,charadriiformes,wild,westerngull,
westernkingbird,Tyrannus verticalis,passerine,songbird-etc,passeriformes,wild,westernkingbird,
westernsandpiper,Calidris mauri,wader,shorebird,charadriiformes,wild,westernsandpiper,
westernscreechowl,Megascops kennicottii,owl,bird-of-prey,strigiformes,wild,westernscreechowl,
westernsnowyplover,Anarhynchus nivosus,wader,shorebird,charadriiformes,wild,snowyplover,subspecies
whimbrel,Numenius hudsonicus,,shorebird,charadriiformes,unknown,hudsonianwhimbrel,
whistlingswan,Cygnus columbianus,swan,goose-swan,anseriformes,wild,tundraswan,
whitecrownedsparrow,Zonotrichia leucophrys,passerine,songbird-etc,passeriformes,wild,whitecrownedsparrow,
whitefacedibis,Plegadis chihi,wader,shorebird,pelecaniformes,wild,whitefacedibis,
whitewingeddove,Zenaida asiatica,dove,songbird-etc,columbiformes,wild,whitewingeddove,
whitewingedscoter,Melanitta deglandi,duck,duck,anseriformes,wild,whitewingedscoter,
wildbird,,unknown,other,unknown,wild,wildbird,
wildduck,,duck,duck,anseriformes,wild,wildduck,
wildgoose,,goose,goose-swan,anseriformes,wild,wildgoose,
wildhybridduck,,duck,duck,anseriformes,wild,wildduck,
wildturkey,Meleagris gallopavo,turkey,ground-bird,galliformes,wild,wildturkey,
willet,Tringa semipalmata,wader,shorebird,charadriiformes,wild,willet,
woodduck,Chenonetta jubata or Aix sponsa,duck,duck,anseriformes,wild,woodduck,
